Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Experience_Level_Category,BMI_Category
56,male,88.3,1.71,180,157,60,1.69,1313.0,yoga,12.6,3.5,4,3,30.2,advanced,obese
46,female,74.9,1.53,179,151,66,1.3,883.0,hiit,33.9,2.1,4,2,32.0,intermediate,obese
32,female,68.1,1.66,167,122,54,1.11,677.0,cardio,33.4,2.3,4,2,24.71,intermediate,normal
25,male,53.2,1.7,190,164,56,0.59,532.0,strength,28.8,2.1,3,1,18.41,beginner,underweight
38,male,46.1,1.79,188,158,68,0.64,556.0,strength,29.2,2.8,3,1,14.39,beginner,underweight
56,female,58.0,1.68,168,156,74,1.59,1116.0,hiit,15.5,2.7,5,3,20.55,advanced,normal
36,male,70.3,1.72,174,169,73,1.49,1385.0,cardio,21.3,2.3,3,2,23.76,intermediate,normal
40,female,69.7,1.51,189,141,64,1.27,895.0,cardio,30.6,1.9,3,2,30.57,intermediate,obese
28,male,121.7,1.94,185,127,52,1.03,719.0,strength,28.9,2.6,4,2,32.34,intermediate,obese
28,male,101.8,1.84,169,136,64,1.08,808.0,cardio,29.7,2.7,3,1,30.07,beginner,obese
41,male,120.8,1.67,188,146,54,0.82,593.0,hiit,20.5,3.0,2,1,43.31,beginner,obese
53,male,51.7,1.7,175,152,72,1.15,865.0,hiit,23.6,3.5,3,2,17.89,intermediate,underweight
57,male,112.5,1.61,195,165,61,1.24,1013.0,cardio,22.1,2.7,3,2,43.4,intermediate,obese
41,male,94.5,2.0,179,136,69,1.18,794.0,hiit,27.6,3.7,3,1,23.62,beginner,normal
20,male,117.7,1.81,196,161,54,1.35,1195.0,yoga,26.4,3.3,3,2,35.93,intermediate,obese
39,female,42.5,1.75,181,131,52,1.13,740.0,strength,26.2,2.1,2,1,13.88,beginner,underweight
19,female,64.0,1.53,166,167,58,1.33,1111.0,hiit,29.8,2.3,3,2,27.34,intermediate,overweight
41,female,43.8,1.77,182,165,58,1.19,884.0,cardio,31.9,1.6,3,1,13.98,beginner,underweight
47,female,66.8,1.75,199,146,56,1.13,742.0,strength,32.8,2.5,3,2,21.81,intermediate,normal
55,female,75.2,1.67,188,167,51,1.37,1030.0,hiit,25.2,2.2,2,1,26.96,beginner,overweight
19,male,89.0,1.77,175,127,72,1.5,1048.0,strength,28.9,3.7,4,2,28.41,intermediate,overweight
38,male,71.9,1.77,197,142,72,1.12,875.0,cardio,25.7,3.1,2,1,22.95,beginner,normal
50,female,71.0,1.68,187,161,70,1.17,848.0,yoga,33.1,2.5,2,1,25.16,beginner,overweight
29,male,120.9,1.78,197,168,65,0.78,721.0,yoga,28.1,3.4,2,1,38.16,beginner,obese
39,female,64.3,1.69,190,148,58,1.25,925.0,hiit,26.9,1.9,4,2,22.51,intermediate,normal
42,female,63.7,1.71,173,169,62,1.42,1080.0,yoga,26.1,1.8,3,2,21.78,intermediate,normal
44,male,65.2,1.8,192,139,68,0.73,502.0,hiit,27.2,2.7,2,1,20.12,beginner,normal
59,male,53.9,1.75,168,135,69,1.48,989.0,strength,21.6,2.8,4,2,17.6,intermediate,underweight
45,male,84.9,1.86,186,136,66,1.64,1104.0,hiit,14.2,3.5,5,3,24.54,advanced,normal
33,female,78.0,1.68,183,135,55,1.29,871.0,hiit,32.3,1.8,3,2,27.64,intermediate,overweight
32,male,108.2,1.8,172,138,53,1.27,964.0,hiit,28.4,3.5,3,1,33.4,beginner,obese
20,female,65.4,1.52,185,127,50,1.03,654.0,yoga,28.0,2.2,4,2,28.31,intermediate,overweight
54,female,50.2,1.61,188,157,67,1.48,1046.0,hiit,28.2,2.7,2,1,19.37,beginner,normal
24,female,58.9,1.51,187,157,68,1.04,816.0,cardio,31.7,2.5,2,1,25.83,beginner,overweight
38,male,81.4,1.71,187,148,58,1.52,1237.0,hiit,10.2,3.5,5,3,27.84,advanced,overweight
26,male,127.6,1.73,167,160,62,1.32,1162.0,strength,27.3,2.9,3,1,42.63,beginner,obese
56,female,59.3,1.56,182,155,57,1.26,879.0,cardio,33.4,2.6,4,2,24.37,intermediate,normal
35,male,96.9,1.71,188,145,72,1.34,1069.0,strength,24.2,2.9,3,2,33.14,intermediate,obese
21,male,62.6,1.81,164,150,62,1.3,1072.0,strength,27.6,3.5,4,2,19.11,intermediate,normal
42,male,45.5,1.6,166,163,64,1.31,1057.0,strength,21.7,2.6,3,2,17.77,intermediate,underweight
31,female,48.8,1.51,195,131,60,1.48,969.0,cardio,28.2,2.0,2,1,21.4,beginner,normal
26,female,44.3,1.6,186,136,61,1.08,734.0,cardio,34.7,2.0,3,1,17.3,beginner,underweight
43,male,113.2,1.83,161,134,63,1.45,962.0,yoga,29.9,2.9,4,2,33.8,intermediate,obese
19,female,60.5,1.59,184,128,53,1.14,730.0,cardio,30.1,2.2,2,1,23.93,beginner,normal
37,male,124.2,1.76,168,158,50,1.5,1304.0,hiit,29.3,2.8,2,1,40.1,beginner,obese
45,male,52.4,1.85,186,161,73,1.2,956.0,strength,25.2,2.5,3,1,15.31,beginner,underweight
24,male,54.7,1.74,160,167,53,0.84,772.0,yoga,22.9,3.6,3,1,18.07,beginner,underweight
25,male,88.1,1.95,182,131,68,1.41,1016.0,cardio,22.7,3.0,2,1,23.17,beginner,normal
52,female,59.7,1.71,169,151,58,1.23,836.0,strength,34.3,2.0,3,1,20.42,beginner,normal
31,female,79.7,1.54,184,144,59,1.03,742.0,cardio,26.7,2.3,4,2,33.61,intermediate,obese
34,female,51.0,1.62,162,158,53,1.42,1122.0,yoga,30.8,2.4,3,2,19.43,intermediate,normal
53,male,84.2,1.76,165,137,69,1.67,1133.0,cardio,12.8,3.5,5,3,27.18,advanced,overweight
57,male,122.1,1.89,165,134,58,1.13,750.0,cardio,27.4,3.6,3,1,34.18,beginner,obese
21,male,96.7,1.72,161,151,62,1.26,1046.0,strength,25.0,2.8,3,1,32.69,beginner,obese
19,female,73.0,1.79,177,125,61,0.81,506.0,hiit,27.7,1.6,3,1,22.78,beginner,normal
23,male,114.8,1.6,182,163,60,1.47,1318.0,cardio,21.7,2.7,4,2,44.84,intermediate,obese
59,female,65.5,1.52,161,162,61,1.4,1021.0,yoga,31.2,2.1,3,2,28.35,intermediate,overweight
21,female,50.3,1.52,171,154,67,1.08,832.0,cardio,32.2,2.6,3,1,21.77,beginner,normal
46,female,61.0,1.71,181,153,61,1.67,1150.0,cardio,17.8,2.7,4,3,20.86,advanced,normal
35,female,44.6,1.62,196,157,65,0.56,440.0,hiit,32.4,2.0,2,1,16.99,beginner,underweight
43,female,58.2,1.61,179,124,54,1.04,580.0,strength,26.4,2.6,3,2,22.45,intermediate,normal
51,female,44.8,1.63,198,137,69,1.08,666.0,yoga,33.8,2.1,4,2,16.86,intermediate,underweight
27,male,87.5,1.63,183,135,74,1.75,1299.0,strength,12.9,3.5,5,3,32.93,advanced,obese
53,male,51.8,1.74,179,127,61,1.23,773.0,strength,21.3,3.7,3,2,17.11,intermediate,underweight
31,female,64.4,1.7,160,144,70,1.97,1418.0,strength,17.3,2.7,5,3,22.28,advanced,normal
48,female,67.1,1.61,160,151,74,0.62,421.0,cardio,33.4,1.5,2,1,25.89,beginner,overweight
32,male,85.9,1.6,176,145,60,1.99,1587.0,hiit,14.5,3.5,5,3,33.55,advanced,obese
25,female,65.4,1.77,160,141,58,0.89,627.0,cardio,27.6,2.6,3,1,20.88,beginner,normal
31,female,61.1,1.76,189,150,67,1.81,1358.0,yoga,18.6,2.7,4,3,19.72,advanced,normal
40,male,106.5,1.65,162,162,74,1.32,1176.0,hiit,21.0,3.6,4,2,39.12,intermediate,obese
57,female,64.0,1.52,170,129,52,1.73,1004.0,strength,15.2,2.7,5,3,27.7,advanced,overweight
38,female,61.4,1.54,183,131,69,1.47,963.0,hiit,30.6,2.7,3,2,25.89,intermediate,overweight
33,female,40.5,1.63,181,147,66,1.07,786.0,yoga,31.9,1.5,4,2,15.24,intermediate,underweight
35,male,70.1,1.79,185,125,63,1.08,743.0,cardio,28.0,2.3,3,2,21.88,intermediate,normal
41,male,94.1,1.62,172,139,50,1.13,777.0,cardio,23.4,3.1,4,2,35.86,intermediate,obese
43,male,55.5,1.82,160,124,66,1.08,663.0,strength,20.1,2.0,3,1,16.76,beginner,underweight
42,female,53.7,1.72,183,142,74,1.37,875.0,cardio,29.8,1.6,3,1,18.15,beginner,underweight
58,female,66.1,1.75,169,128,57,0.63,363.0,cardio,25.2,1.8,2,1,21.58,beginner,normal
46,male,103.9,1.77,194,148,54,1.18,864.0,yoga,20.9,2.9,2,1,33.16,beginner,obese
32,female,61.7,1.58,183,135,54,1.87,1262.0,hiit,16.6,2.7,5,3,24.72,advanced,normal
18,female,52.3,1.74,187,165,58,1.2,990.0,cardio,29.4,2.2,2,1,17.27,beginner,underweight
42,female,59.5,1.74,195,141,52,1.78,1129.0,yoga,16.4,2.7,5,3,19.65,advanced,normal
24,female,72.9,1.76,175,127,68,0.86,546.0,yoga,30.8,1.5,3,1,23.53,beginner,normal
26,female,76.7,1.63,199,139,72,1.08,751.0,strength,25.6,1.7,2,1,28.87,beginner,overweight
41,male,72.1,1.83,175,133,58,1.13,744.0,yoga,21.4,2.8,3,2,21.53,intermediate,normal
18,female,54.8,1.68,176,158,71,1.27,1003.0,strength,32.0,2.2,4,2,19.42,intermediate,normal
25,male,105.0,1.88,174,156,67,1.34,1150.0,cardio,21.4,2.3,3,2,29.71,intermediate,overweight
41,female,55.0,1.55,175,169,65,1.45,1103.0,strength,31.4,2.0,4,2,22.89,intermediate,normal
28,male,81.6,1.66,174,153,50,1.09,917.0,yoga,20.5,3.5,4,2,29.61,intermediate,overweight
34,female,75.6,1.6,193,130,51,0.64,416.0,hiit,29.1,2.7,2,1,29.53,beginner,overweight
25,male,81.5,1.61,170,159,63,1.93,1688.0,hiit,10.9,3.5,4,3,31.44,advanced,obese
52,female,61.5,1.69,160,152,63,1.8,1231.0,cardio,15.5,2.7,4,3,21.53,advanced,normal
52,male,74.0,1.63,174,150,50,1.26,936.0,cardio,25.7,3.7,3,2,27.85,intermediate,overweight
50,female,56.4,1.59,185,163,74,1.26,924.0,hiit,34.3,2.6,3,1,22.31,beginner,normal
22,male,102.6,1.84,163,153,65,1.25,1052.0,strength,20.5,2.7,3,2,30.3,intermediate,obese
59,female,54.6,1.57,164,169,64,0.58,441.0,cardio,29.2,2.3,3,1,22.15,beginner,normal
56,male,129.0,1.78,194,126,64,1.29,805.0,yoga,27.1,2.7,2,1,40.71,beginner,obese
58,male,103.5,1.66,172,168,61,1.33,1106.0,cardio,24.6,3.1,3,1,37.56,beginner,obese
45,female,59.4,1.51,169,142,65,1.15,735.0,strength,33.1,1.9,4,2,26.05,intermediate,overweight
24,female,60.1,1.79,170,165,63,1.97,1625.0,cardio,15.9,2.7,4,3,18.76,advanced,normal
26,male,77.7,1.62,177,126,73,1.16,804.0,yoga,29.6,3.0,3,2,29.61,intermediate,overweight
25,female,41.2,1.62,193,144,64,1.49,1073.0,yoga,28.9,2.1,4,2,15.7,intermediate,underweight
29,male,58.6,1.61,198,122,72,1.2,805.0,yoga,23.4,2.0,3,2,22.61,intermediate,normal
51,male,109.3,1.78,182,157,64,0.54,420.0,strength,28.7,3.3,3,1,34.5,beginner,obese
50,male,69.6,1.96,166,139,68,0.97,667.0,strength,25.6,2.0,3,1,18.12,beginner,underweight
40,female,56.2,1.79,198,153,57,1.79,1369.0,yoga,17.6,2.7,5,3,17.54,advanced,underweight
41,male,71.7,1.96,162,168,51,0.51,424.0,yoga,27.3,2.5,2,1,18.66,beginner,normal
54,male,86.0,1.93,171,163,51,1.74,1404.0,strength,12.9,3.5,5,3,23.09,advanced,normal
52,female,79.4,1.59,166,163,59,1.39,1020.0,strength,26.6,1.5,3,2,31.41,intermediate,obese
57,female,78.4,1.62,185,149,52,1.01,677.0,strength,31.7,2.0,4,2,29.87,intermediate,overweight
39,female,55.4,1.6,192,136,72,1.44,979.0,hiit,26.3,1.6,3,2,21.64,intermediate,normal
44,female,61.7,1.55,196,129,66,1.41,819.0,strength,33.1,2.6,4,2,25.68,intermediate,overweight
52,male,85.5,1.82,174,154,57,1.78,1357.0,yoga,14.9,3.5,4,3,25.81,advanced,overweight
18,male,87.6,1.93,161,139,72,1.72,1315.0,hiit,11.9,3.5,4,3,23.52,advanced,normal
52,male,82.4,1.72,166,137,53,1.01,685.0,strength,24.4,2.7,4,2,27.85,intermediate,overweight
54,male,67.0,1.68,191,164,63,0.55,446.0,yoga,20.5,2.8,3,1,23.74,beginner,normal
31,female,42.3,1.6,163,163,70,1.09,888.0,cardio,25.1,1.9,3,2,16.52,intermediate,underweight
20,male,82.7,1.99,179,146,59,1.69,1357.0,hiit,14.6,3.5,5,3,20.88,advanced,normal
18,male,92.4,1.74,195,168,50,1.41,1303.0,yoga,21.3,3.1,2,1,30.52,beginner,obese
22,female,63.2,1.54,191,155,53,1.02,790.0,cardio,29.5,2.4,4,2,26.65,intermediate,overweight
43,male,82.7,1.85,187,142,50,1.22,858.0,yoga,28.2,3.1,4,2,24.16,intermediate,normal
31,male,86.6,1.76,172,151,66,1.29,1071.0,strength,28.9,3.3,3,2,27.96,intermediate,overweight
56,male,129.5,1.95,160,129,66,1.0,639.0,strength,25.2,3.5,2,1,34.06,beginner,obese
44,male,98.0,1.83,194,130,56,1.28,824.0,cardio,25.7,3.5,4,2,29.26,intermediate,overweight
26,male,86.2,1.68,189,157,72,1.97,1701.0,strength,13.3,3.5,5,3,30.54,advanced,obese
32,male,78.6,1.62,195,125,69,1.28,880.0,yoga,29.6,3.1,3,1,29.95,beginner,overweight
32,female,59.0,1.66,184,160,64,0.51,408.0,cardio,31.0,1.8,2,1,21.41,beginner,normal
43,female,57.3,1.79,175,166,62,1.98,1479.0,yoga,17.8,2.7,4,3,17.88,advanced,underweight
59,male,122.3,1.89,178,153,51,0.66,500.0,yoga,20.1,3.1,3,1,34.24,beginner,obese
30,male,85.3,1.95,160,155,68,1.61,1373.0,yoga,10.4,3.5,5,3,22.43,advanced,normal
49,female,45.2,1.74,164,156,73,1.24,870.0,strength,30.8,2.1,3,2,14.93,intermediate,underweight
56,male,55.6,1.92,181,136,62,0.68,458.0,strength,29.4,3.2,3,1,15.08,beginner,underweight
49,male,82.8,1.95,183,159,73,1.91,1503.0,yoga,14.3,3.5,5,3,21.78,advanced,normal
21,male,125.2,1.66,196,159,60,1.38,1207.0,hiit,29.8,3.4,3,2,45.43,intermediate,obese
47,female,58.5,1.79,195,131,71,1.42,837.0,yoga,30.3,2.4,4,2,18.26,intermediate,underweight
54,male,86.1,1.95,195,140,64,1.17,811.0,yoga,27.9,3.4,2,1,22.64,beginner,normal
40,female,63.5,1.61,163,159,59,1.31,1041.0,cardio,33.4,1.6,3,2,24.5,intermediate,normal
56,male,69.3,1.68,195,138,58,0.66,451.0,yoga,26.5,2.1,2,1,24.55,beginner,normal
32,female,70.5,1.62,177,122,58,1.24,756.0,strength,28.4,1.8,2,1,26.86,beginner,overweight
46,female,60.1,1.65,175,137,69,1.69,1042.0,cardio,17.3,2.7,4,3,22.08,advanced,normal
53,male,94.1,1.95,177,138,50,0.89,608.0,hiit,28.6,3.5,3,1,24.75,beginner,normal
30,female,79.2,1.62,181,166,66,1.26,1046.0,cardio,28.0,2.5,4,2,30.18,intermediate,obese
49,male,115.3,1.91,161,125,61,1.38,854.0,hiit,29.2,3.2,2,1,31.61,beginner,obese
24,female,62.9,1.79,180,135,59,1.42,958.0,cardio,27.3,2.3,4,2,19.63,intermediate,normal
39,male,62.0,1.64,195,127,54,0.97,678.0,cardio,27.5,3.2,3,1,23.05,beginner,normal
45,male,88.5,1.78,198,167,67,1.53,1265.0,hiit,13.2,3.5,4,3,27.93,advanced,overweight
19,female,73.9,1.77,198,137,64,1.28,877.0,strength,32.5,2.6,3,2,23.59,intermediate,normal
59,male,50.3,1.95,188,167,55,1.07,885.0,strength,24.4,3.4,3,1,13.23,beginner,underweight
23,male,83.1,1.8,185,162,56,0.7,624.0,strength,29.3,3.1,3,1,25.65,beginner,overweight
45,female,65.1,1.78,180,158,66,1.46,1038.0,cardio,31.3,2.3,3,1,20.55,beginner,normal
45,male,46.6,1.79,176,168,55,1.46,1214.0,yoga,22.9,2.4,3,2,14.54,intermediate,underweight
37,male,103.5,1.89,175,168,57,0.54,499.0,cardio,26.4,3.1,2,1,28.97,beginner,overweight
47,female,61.9,1.54,190,131,61,1.95,1150.0,yoga,16.4,2.7,4,3,26.1,advanced,overweight
28,female,52.0,1.61,168,164,70,1.32,1082.0,yoga,27.9,2.0,3,2,20.06,intermediate,normal
45,male,113.4,1.71,190,129,63,0.83,530.0,strength,24.0,2.3,2,1,38.78,beginner,obese
42,male,62.9,1.98,173,126,61,1.42,886.0,yoga,28.5,3.4,4,2,16.04,intermediate,underweight
56,female,40.4,1.8,196,165,72,1.23,913.0,cardio,30.0,2.1,4,2,12.47,intermediate,underweight
50,female,67.1,1.75,161,120,59,0.67,362.0,cardio,31.8,2.7,3,1,21.91,beginner,normal
18,male,70.0,1.61,173,168,71,1.3,1201.0,strength,23.9,2.5,2,1,27.01,beginner,overweight
44,female,69.5,1.75,192,155,69,1.02,711.0,hiit,27.6,2.1,3,1,22.69,beginner,normal
30,male,107.9,1.66,194,140,64,1.08,832.0,cardio,29.5,2.8,3,2,39.16,intermediate,obese
58,male,109.0,1.91,198,156,56,1.49,1151.0,yoga,26.0,2.2,3,2,29.88,intermediate,overweight
20,male,101.0,1.91,179,143,58,1.36,1070.0,cardio,29.3,2.7,3,2,27.69,intermediate,overweight
56,male,88.5,1.85,161,144,59,1.57,1119.0,cardio,11.0,3.5,4,3,25.86,advanced,overweight
23,male,80.9,1.8,178,126,59,1.55,1074.0,cardio,10.7,3.5,4,3,24.97,advanced,normal
25,female,43.1,1.62,196,161,65,1.04,837.0,hiit,33.6,1.8,4,2,16.42,intermediate,underweight
44,female,59.1,1.52,177,136,56,1.58,967.0,yoga,18.4,2.7,5,3,25.58,advanced,overweight
26,female,54.0,1.53,175,148,54,1.14,844.0,strength,26.9,1.7,3,1,23.07,beginner,normal
54,female,72.3,1.78,163,149,72,1.27,852.0,cardio,27.7,1.8,2,1,22.82,beginner,normal
50,male,51.1,1.98,171,126,52,0.92,574.0,yoga,28.0,2.4,2,1,13.03,beginner,underweight
59,male,89.4,1.72,188,152,67,1.08,813.0,yoga,24.5,3.2,3,1,30.22,beginner,obese
41,male,51.5,1.8,166,126,60,1.09,680.0,strength,26.7,2.1,4,2,15.9,intermediate,underweight
32,male,87.9,1.88,173,143,64,1.52,1195.0,cardio,11.6,3.5,5,3,24.87,advanced,normal
49,female,42.0,1.52,171,130,70,1.1,644.0,hiit,28.8,2.2,3,1,18.18,beginner,underweight
49,male,79.2,1.72,194,128,69,1.46,925.0,yoga,29.9,3.3,3,1,26.77,beginner,overweight
41,male,64.8,1.71,164,131,54,1.2,778.0,strength,22.5,2.8,3,2,22.16,intermediate,normal
58,female,63.0,1.78,176,154,73,1.58,1095.0,hiit,17.5,2.7,4,3,19.88,advanced,normal
29,female,56.2,1.77,191,123,61,0.68,418.0,yoga,33.4,2.6,3,1,17.94,beginner,underweight
56,female,52.9,1.64,169,155,53,1.1,767.0,cardio,27.4,2.3,3,2,19.67,intermediate,normal
19,female,49.0,1.69,176,147,64,1.05,772.0,yoga,29.2,2.4,3,1,17.16,beginner,underweight
20,male,128.2,1.84,164,132,58,0.83,603.0,hiit,26.2,2.3,3,1,37.87,beginner,obese
54,male,83.6,1.86,168,142,56,1.54,1082.0,hiit,12.4,3.5,5,3,24.16,advanced,normal
34,female,56.2,1.77,192,138,59,1.81,1249.0,cardio,17.3,2.7,5,3,17.94,advanced,underweight
19,male,87.8,1.78,195,161,72,1.28,1133.0,cardio,23.6,3.3,2,1,27.71,beginner,overweight
19,male,85.9,1.85,195,156,62,1.66,1424.0,strength,12.9,3.5,4,3,25.1,advanced,overweight
45,male,51.1,1.87,177,158,57,1.44,1126.0,cardio,26.2,3.4,4,2,14.61,intermediate,underweight
40,female,57.4,1.71,168,143,61,1.87,1337.0,strength,18.3,2.7,5,3,19.63,advanced,normal
54,male,114.9,1.92,188,135,71,1.2,802.0,hiit,20.7,2.6,4,2,31.17,intermediate,obese
49,female,62.1,1.66,173,152,73,1.37,937.0,hiit,31.3,1.8,3,2,22.54,intermediate,normal
50,male,57.1,1.91,184,131,68,1.09,707.0,yoga,29.5,2.7,4,2,15.65,intermediate,underweight
18,male,68.1,1.8,174,153,50,1.1,926.0,yoga,25.4,3.3,4,2,21.02,intermediate,normal
36,male,69.2,1.65,165,126,65,1.23,852.0,strength,27.2,2.7,3,1,25.42,beginner,overweight
19,female,65.2,1.52,188,130,71,1.23,800.0,cardio,30.6,2.4,3,1,28.22,beginner,overweight
43,male,108.6,1.73,174,150,66,1.33,988.0,cardio,28.5,2.2,2,1,36.29,beginner,obese
49,female,40.0,1.65,188,148,74,1.03,686.0,yoga,34.3,2.5,3,2,14.69,intermediate,underweight
23,female,41.9,1.58,163,132,67,0.56,370.0,hiit,26.8,1.8,3,1,16.78,beginner,underweight
49,female,68.3,1.52,177,150,60,1.45,979.0,strength,29.4,1.8,4,2,29.56,intermediate,overweight
21,male,88.4,1.6,198,121,67,1.71,1138.0,hiit,12.0,3.5,4,3,34.53,advanced,obese
28,male,66.0,1.9,175,158,56,1.18,1025.0,hiit,24.1,3.0,3,1,18.28,beginner,underweight
34,male,71.9,1.64,170,134,67,1.26,929.0,cardio,21.3,2.1,4,2,26.73,intermediate,overweight
55,male,75.6,1.71,173,130,57,1.03,663.0,strength,28.1,2.0,4,2,25.85,intermediate,overweight
41,female,63.4,1.59,162,153,55,1.84,1267.0,hiit,15.2,2.7,5,3,25.08,advanced,overweight
22,female,71.6,1.77,197,158,56,1.49,1177.0,yoga,30.3,1.8,3,1,22.85,beginner,normal
51,female,57.4,1.77,177,123,72,1.08,598.0,yoga,31.6,2.1,4,2,18.32,intermediate,underweight
23,male,83.8,1.99,179,130,71,1.79,1280.0,cardio,11.0,3.5,4,3,21.16,advanced,normal
39,female,55.9,1.71,184,148,59,1.95,1443.0,yoga,19.5,2.7,5,3,19.12,advanced,normal
28,male,87.0,1.76,197,121,60,1.2,799.0,yoga,28.4,3.5,3,2,28.09,intermediate,overweight
33,female,65.3,1.71,172,135,74,1.18,796.0,hiit,29.7,2.5,4,2,22.33,intermediate,normal
50,male,45.4,1.67,163,158,62,1.37,1071.0,yoga,24.1,2.8,4,2,16.28,intermediate,underweight
26,male,87.1,1.87,173,132,58,1.71,1241.0,yoga,11.2,3.5,4,3,24.91,advanced,normal
23,female,78.6,1.73,192,156,56,1.47,1147.0,hiit,32.3,1.5,4,2,26.26,intermediate,overweight
33,female,78.0,1.71,187,136,58,1.08,734.0,cardio,26.3,2.1,3,1,26.67,beginner,overweight
46,female,58.0,1.53,196,140,62,1.83,1153.0,cardio,18.4,2.7,4,3,24.78,advanced,normal
20,female,71.3,1.69,167,163,52,1.28,1043.0,strength,33.4,2.3,3,2,24.96,intermediate,normal
37,male,49.1,1.74,193,138,52,1.11,842.0,yoga,22.3,2.6,3,2,16.22,intermediate,underweight
53,female,78.3,1.65,164,126,50,1.24,703.0,hiit,33.7,1.6,3,1,28.76,beginner,overweight
36,female,57.3,1.64,164,157,70,1.13,887.0,strength,25.3,1.8,4,2,21.3,intermediate,normal
43,female,48.4,1.61,190,127,69,1.28,732.0,cardio,34.1,2.4,2,1,18.67,beginner,normal
20,male,76.4,1.62,168,132,51,1.35,980.0,cardio,21.2,2.6,4,2,29.11,intermediate,overweight
36,male,110.2,1.77,191,156,74,1.19,1021.0,hiit,26.5,3.4,2,1,35.18,beginner,obese
37,female,72.9,1.76,192,121,52,1.21,732.0,strength,27.5,1.9,3,2,23.53,intermediate,normal
49,male,82.1,1.86,162,160,64,1.87,1481.0,strength,14.2,3.5,4,3,23.73,advanced,normal
24,female,58.9,1.76,189,130,73,0.63,410.0,hiit,30.1,1.7,3,1,19.01,beginner,normal
58,male,82.2,1.87,171,143,55,1.57,1111.0,hiit,10.7,3.5,4,3,23.51,advanced,normal
50,male,96.7,1.72,188,125,62,1.46,903.0,strength,25.7,2.7,3,2,32.69,intermediate,obese
57,male,81.4,1.86,162,145,70,1.8,1292.0,cardio,12.0,3.5,5,3,23.53,advanced,normal
56,male,107.8,1.73,185,126,50,1.09,680.0,yoga,26.6,2.8,3,2,36.02,intermediate,obese
35,female,65.8,1.62,189,158,69,1.0,790.0,cardio,33.8,1.5,4,2,25.07,intermediate,overweight
57,female,68.5,1.56,168,138,68,1.45,900.0,hiit,29.1,1.6,4,2,28.15,intermediate,overweight
18,female,63.9,1.59,185,125,50,1.87,1169.0,strength,16.4,2.7,4,3,25.28,advanced,overweight
28,male,76.3,1.62,161,162,70,1.16,1034.0,strength,20.1,2.3,3,2,29.07,intermediate,overweight
45,female,44.5,1.65,162,148,71,1.44,959.0,yoga,30.7,1.6,3,1,16.35,beginner,underweight
42,female,50.7,1.75,163,162,51,1.29,940.0,strength,29.0,1.9,3,2,16.56,intermediate,underweight
40,female,55.1,1.61,184,158,64,1.55,1224.0,yoga,16.9,2.7,4,3,21.26,advanced,normal
48,male,73.7,1.61,172,121,63,1.36,815.0,cardio,21.8,3.6,4,2,28.43,intermediate,overweight
47,male,55.6,1.77,198,138,68,1.2,820.0,cardio,24.3,2.9,4,2,17.75,intermediate,underweight
59,male,86.9,1.76,194,123,60,1.13,688.0,strength,29.8,3.1,3,2,28.05,intermediate,overweight
52,female,60.3,1.68,182,125,64,1.6,900.0,strength,16.5,2.7,4,3,21.36,advanced,normal
24,female,40.4,1.64,168,168,55,0.99,832.0,hiit,31.0,1.9,2,1,15.02,beginner,underweight
33,female,78.5,1.66,161,156,69,1.29,1006.0,hiit,32.8,1.9,4,2,28.49,intermediate,overweight
